category,message
ham,"Hey, are we still meeting for lunch at 10:00 AM today?"
spam,Double your money in 24 hours with crypto trading! Sign up now.
spam,Exclusive offer! Get cheap loan approval today only. Hurry up!
spam,WINNER! Guarantee high return investment. Reply YES to get started.
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
ham,Don't forget to buy coffee on your way home.
ham,Please find attached the updated report for our project meeting.
ham,Don't forget to buy milk on your way home.
spam,WINNER! Guarantee high return investment. Reply YES to get started.
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
ham,Happy birthday! Hope you have a wonderful day ahead.
ham,Thanks for sending the documents over. I will review them tonight.
ham,Don't forget to buy bread on your way home.
spam,URGENT! You have won a $1000 cash prize! Call now to claim.
ham,Please find attached the updated report for our project meeting.
ham,Please find attached the updated report for our project meeting.
spam,Exclusive offer! Get cheap loan approval today only. Hurry up!
ham,Please find attached the updated report for our project meeting.
spam,Congratulations! You've been selected for a free laptop. Click link below.
ham,Happy birthday! Hope you have a wonderful day ahead.
spam,Get discount on luxury watches and electronics. Limited time deal!
ham,The team meeting has been rescheduled to tomorrow morning at 12:30 PM.
spam,Congratulations! You've been selected for a free laptop. Click link below.
ham,Please find attached the updated report for our project meeting.
spam,Exclusive offer! Get cheap credit repair today only. Hurry up!
spam,Double your money in 24 hours with crypto trading! Sign up now.
spam,Exclusive offer! Get cheap credit repair today only. Hurry up!
spam,URGENT! You have won a $1000 cash prize! Call now to claim.
ham,The team meeting has been rescheduled to tomorrow morning at 1:00 PM.
ham,Please find attached the updated report for our project meeting.
spam,WINNER! Guarantee high return investment. Reply YES to get started.
ham,Thanks for sending the documents over. I will review them tonight.
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
spam,Get discount on luxury watches and electronics. Limited time deal!
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
spam,Exclusive offer! Get cheap medication today only. Hurry up!
ham,"Hey, are we still meeting for lunch at 3:00 PM today?"
ham,The team meeting has been rescheduled to tomorrow morning at 1:00 PM.
ham,"Hey, are we still meeting for lunch at 10:00 AM today?"
ham,Happy birthday! Hope you have a wonderful day ahead.
spam,WINNER! Guarantee high return investment. Reply YES to get started.
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
ham,The team meeting has been rescheduled to tomorrow morning at 10:00 AM.
spam,Congratulations! You've been selected for a free iPhone. Click link below.
ham,Don't forget to buy eggs on your way home.
spam,Double your money in 24 hours with crypto trading! Sign up now.
ham,Happy birthday! Hope you have a wonderful day ahead.
spam,Double your money in 24 hours with crypto trading! Sign up now.
ham,Don't forget to buy eggs on your way home.
ham,Happy birthday! Hope you have a wonderful day ahead.
ham,Don't forget to buy eggs on your way home.
ham,Happy birthday! Hope you have a wonderful day ahead.
ham,"Hey, are we still meeting for lunch at 1:00 PM today?"
spam,Exclusive offer! Get cheap medication today only. Hurry up!
ham,Don't forget to buy bread on your way home.
ham,Happy birthday! Hope you have a wonderful day ahead.
ham,"Hey, are we still meeting for lunch at 1:00 PM today?"
ham,"Hey, are we still meeting for lunch at 1:00 PM today?"
ham,"Hey, are we still meeting for lunch at 1:00 PM today?"
ham,"Hey, are we still meeting for lunch at 1:00 PM today?"
ham,"Hey, are we still meeting for lunch at 1:00 PM today?"
spam,Congratulations! You've been selected for a free laptop. Click link below.
ham,The team meeting has been rescheduled to tomorrow morning at 12:30 PM.
ham,Don't forget to buy eggs on your way home.
ham,Happy birthday! Hope you have a wonderful day ahead.
ham,Happy birthday! Hope you have a wonderful day ahead.
ham,The team meeting has been rescheduled to tomorrow morning at 10:00 AM.
ham,Please find attached the updated report for our project meeting.
spam,WINNER! Guarantee high return investment. Reply YES to get started.
ham,Happy birthday! Hope you have a wonderful day ahead.
ham,The team meeting has been rescheduled to tomorrow morning at 12:30 PM.
spam,Your account has been locked due to suspicious activity. Verify credentials now.
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
spam,WINNER! Guarantee high return investment. Reply YES to get started.
spam,URGENT! You have won a $500 cash prize! Call now to claim.
ham,The team meeting has been rescheduled to tomorrow morning at 1:00 PM.
spam,Congratulations! You've been selected for a free iPhone. Click link below.
spam,Get discount on luxury watches and electronics. Limited time deal!
spam,Double your money in 24 hours with crypto trading! Sign up now.
spam,WINNER! Guarantee high return investment. Reply YES to get started.
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
ham,Happy birthday! Hope you have a wonderful day ahead.
ham,Don't forget to buy bread on your way home.
spam,WINNER! Guarantee high return investment. Reply YES to get started.
ham,Happy birthday! Hope you have a wonderful day ahead.
ham,"Hey, are we still meeting for lunch at 3:00 PM today?"
ham,Don't forget to buy milk on your way home.
ham,Don't forget to buy milk on your way home.
spam,URGENT! You have won a $1000 cash prize! Call now to claim.
spam,WINNER! Guarantee high return investment. Reply YES to get started.
spam,Congratulations! You've been selected for a free gift card. Click link below.
spam,Get discount on luxury watches and electronics. Limited time deal!
spam,Your account has been locked due to suspicious activity. Verify credentials now.
ham,The team meeting has been rescheduled to tomorrow morning at 10:00 AM.
spam,Exclusive offer! Get cheap credit repair today only. Hurry up!
spam,Congratulations! You've been selected for a free vacation trip. Click link below.
ham,Thanks for sending the documents over. I will review them tonight.
ham,Thanks for sending the documents over. I will review them tonight.
spam,Congratulations! You've been selected for a free gift card. Click link below.
spam,Double your money in 24 hours with crypto trading! Sign up now.
ham,Don't forget to buy coffee on your way home.
ham,Don't forget to buy milk on your way home.
spam,Exclusive offer! Get cheap credit repair today only. Hurry up!
spam,Get discount on luxury watches and electronics. Limited time deal!
ham,Don't forget to buy coffee on your way home.
ham,Please find attached the updated report for our project meeting.
spam,Exclusive offer! Get cheap credit repair today only. Hurry up!
ham,Thanks for sending the documents over. I will review them tonight.
spam,Get discount on luxury watches and electronics. Limited time deal!
ham,Don't forget to buy eggs on your way home.
ham,Don't forget to buy coffee on your way home.
ham,The team meeting has been rescheduled to tomorrow morning at 3:00 PM.
ham,Happy birthday! Hope you have a wonderful day ahead.
spam,Get discount on luxury watches and electronics. Limited time deal!
spam,Get discount on luxury watches and electronics. Limited time deal!
spam,Get discount on luxury watches and electronics. Limited time deal!
spam,Get discount on luxury watches and electronics. Limited time deal!
ham,Happy birthday! Hope you have a wonderful day ahead.
ham,Please find attached the updated report for our project meeting.
ham,Happy birthday! Hope you have a wonderful day ahead.
ham,Don't forget to buy milk on your way home.
spam,Exclusive offer! Get cheap loan approval today only. Hurry up!
spam,Exclusive offer! Get cheap credit repair today only. Hurry up!
ham,Happy birthday! Hope you have a wonderful day ahead.
ham,Happy birthday! Hope you have a wonderful day ahead.
spam,Get discount on luxury watches and electronics. Limited time deal!
spam,Exclusive offer! Get cheap loan approval today only. Hurry up!
spam,Exclusive offer! Get cheap medication today only. Hurry up!
ham,The team meeting has been rescheduled to tomorrow morning at 12:30 PM.
ham,"Hey, are we still meeting for lunch at 10:00 AM today?"
spam,Double your money in 24 hours with crypto trading! Sign up now.
ham,Please find attached the updated report for our project meeting.
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
spam,Your account has been locked due to suspicious activity. Verify credentials now.
ham,"Hey, are we still meeting for lunch at 10:00 AM today?"
spam,Exclusive offer! Get cheap credit repair today only. Hurry up!
ham,Please find attached the updated report for our project meeting.
spam,URGENT! You have won a $500 cash prize! Call now to claim.
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
ham,Please find attached the updated report for our project meeting.
ham,Please find attached the updated report for our project meeting.
spam,Congratulations! You've been selected for a free laptop. Click link below.
ham,The team meeting has been rescheduled to tomorrow morning at 1:00 PM.
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
ham,The team meeting has been rescheduled to tomorrow morning at 1:00 PM.
spam,WINNER! Guarantee high return investment. Reply YES to get started.
ham,Thanks for sending the documents over. I will review them tonight.
spam,Your account has been locked due to suspicious activity. Verify credentials now.
spam,Get discount on luxury watches and electronics. Limited time deal!
ham,Thanks for sending the documents over. I will review them tonight.
spam,WINNER! Guarantee high return investment. Reply YES to get started.
ham,"Hey, are we still meeting for lunch at 10:00 AM today?"
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
spam,Congratulations! You've been selected for a free laptop. Click link below.
ham,"Hey, are we still meeting for lunch at 1:00 PM today?"
ham,Don't forget to buy eggs on your way home.
spam,Get discount on luxury watches and electronics. Limited time deal!
spam,Exclusive offer! Get cheap credit repair today only. Hurry up!
ham,Happy birthday! Hope you have a wonderful day ahead.
spam,Exclusive offer! Get cheap credit repair today only. Hurry up!
spam,URGENT! You have won a $500 cash prize! Call now to claim.
ham,The team meeting has been rescheduled to tomorrow morning at 1:00 PM.
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
spam,Double your money in 24 hours with crypto trading! Sign up now.
ham,Happy birthday! Hope you have a wonderful day ahead.
ham,Thanks for sending the documents over. I will review them tonight.
spam,WINNER! Guarantee high return investment. Reply YES to get started.
ham,Thanks for sending the documents over. I will review them tonight.
spam,Double your money in 24 hours with crypto trading! Sign up now.
ham,The team meeting has been rescheduled to tomorrow morning at 10:00 AM.
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
ham,Please find attached the updated report for our project meeting.
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
spam,Your account has been locked due to suspicious activity. Verify credentials now.
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
spam,Exclusive offer! Get cheap loan approval today only. Hurry up!
spam,WINNER! Guarantee high return investment. Reply YES to get started.
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
spam,URGENT! You have won a $500 cash prize! Call now to claim.
ham,Please find attached the updated report for our project meeting.
ham,"Hey, are we still meeting for lunch at 12:30 PM today?"
spam,URGENT! You have won a $10000 cash prize! Call now to claim.
spam,URGENT! You have won a $500 cash prize! Call now to claim.
ham,The team meeting has been rescheduled to tomorrow morning at 12:30 PM.
ham,Please find attached the updated report for our project meeting.
spam,Exclusive offer! Get cheap loan approval today only. Hurry up!
spam,Your account has been locked due to suspicious activity. Verify credentials now.
spam,WINNER! Guarantee high return investment. Reply YES to get started.
spam,URGENT! You have won a $10000 cash prize! Call now to claim.
ham,"Hey, are we still meeting for lunch at 3:00 PM today?"
ham,Happy birthday! Hope you have a wonderful day ahead.
spam,Your account has been locked due to suspicious activity. Verify credentials now.
ham,"Hey, are we still meeting for lunch at 12:30 PM today?"
spam,Exclusive offer! Get cheap loan approval today only. Hurry up!
ham,"Hey, are we still meeting for lunch at 10:00 AM today?"
ham,Please find attached the updated report for our project meeting.
ham,The team meeting has been rescheduled to tomorrow morning at 10:00 AM.
ham,Don't forget to buy milk on your way home.
spam,Get discount on luxury watches and electronics. Limited time deal!
spam,Get discount on luxury watches and electronics. Limited time deal!
ham,Don't forget to buy bread on your way home.
spam,WINNER! Guarantee high return investment. Reply YES to get started.
ham,The team meeting has been rescheduled to tomorrow morning at 12:30 PM.
ham,The team meeting has been rescheduled to tomorrow morning at 1:00 PM.
ham,"Hey, are we still meeting for lunch at 3:00 PM today?"
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
ham,The team meeting has been rescheduled to tomorrow morning at 12:30 PM.
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
ham,Happy birthday! Hope you have a wonderful day ahead.
spam,WINNER! Guarantee high return investment. Reply YES to get started.
spam,Get discount on luxury watches and electronics. Limited time deal!
spam,Exclusive offer! Get cheap medication today only. Hurry up!
spam,Double your money in 24 hours with crypto trading! Sign up now.
spam,URGENT! You have won a $10000 cash prize! Call now to claim.
ham,Don't forget to buy milk on your way home.
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
ham,"Hey, are we still meeting for lunch at 12:30 PM today?"
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
ham,The team meeting has been rescheduled to tomorrow morning at 12:30 PM.
spam,URGENT! You have won a $500 cash prize! Call now to claim.
ham,"Hey, are we still meeting for lunch at 3:00 PM today?"
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
spam,WINNER! Guarantee high return investment. Reply YES to get started.
spam,Your account has been locked due to suspicious activity. Verify credentials now.
ham,Please find attached the updated report for our project meeting.
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
ham,The team meeting has been rescheduled to tomorrow morning at 3:00 PM.
ham,The team meeting has been rescheduled to tomorrow morning at 10:00 AM.
spam,Double your money in 24 hours with crypto trading! Sign up now.
ham,Thanks for sending the documents over. I will review them tonight.
spam,WINNER! Guarantee high return investment. Reply YES to get started.
ham,Thanks for sending the documents over. I will review them tonight.
spam,URGENT! You have won a $500 cash prize! Call now to claim.
ham,"Hey, are we still meeting for lunch at 3:00 PM today?"
ham,Happy birthday! Hope you have a wonderful day ahead.
ham,Please find attached the updated report for our project meeting.
ham,The team meeting has been rescheduled to tomorrow morning at 12:30 PM.
spam,Exclusive offer! Get cheap loan approval today only. Hurry up!
ham,Please find attached the updated report for our project meeting.
spam,Get discount on luxury watches and electronics. Limited time deal!
ham,"Hey, are we still meeting for lunch at 10:00 AM today?"
spam,Your account has been locked due to suspicious activity. Verify credentials now.
spam,Congratulations! You've been selected for a free gift card. Click link below.
ham,Can you give me a call when you are free? Need to discuss tomorrow's presentation.
